BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,13/12/2021,7
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,06/01/2021,25
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,18/01/2021,5
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,16/02/2021,14
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,08/07/2021,1
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,12/01/2021,21
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,12/10/2021,7
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,21/10/2021,1
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,07/06/2021,0
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,15/10/2021,27
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,05/01/2021,5
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,09/02/2021,5
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,15/03/2021,14
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,20/04/2021,1
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,27/04/2021,3
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,17/11/2021,19
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,03/02/2021,120
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,02/06/2021,2
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,18/03/2021,9
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,10/12/2021,13
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,15/02/2021,6
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,24/02/2021,7
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,11/11/2021,
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,29/12/2021,1
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,26/03/2021,140
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,02/09/2021,3
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,01/10/2021,0
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,15/01/2021,110
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,10/05/2021,6
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,07/07/2021,1
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,25/10/2021,0
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,03/03/2021,
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,01/04/2021,1
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,21/12/2021,51
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,28/01/2021,540
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,19/02/2021,2
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,05/08/2021,14
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,01/11/2021,3
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,23/11/2021,2
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,02/07/2021,7
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,09/04/2021,6
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,15/04/2021,3
90,Botany Bay,Randwick Council,Congwong Bay,151.234813,-33.989325,07/10/2021,3
